year, rates
1970,0
1971,-0.1069182389937107
1972,2.704225352112676
1973,0.6083650190114068
1974,-0.37706855791962174
1975,-0.2827324478178368
1976,0.48677248677248675
1977,1.0551601423487544
1978,-0.638095238095238
1979,-0.07894736842105263
1980,-0.4935064935064935
1981,-0.764102564102564
1982,2.369565217391304
1983,0.2967741935483871
1984,0.17412935323383086
1985,0.09745762711864407
1986,-0.05019305019305019
1987,-0.516260162601626
1988,-0.6134453781512605
1989,7.413043478260869
1990,0.4806201550387597
1991,0.03664921465968586
1992,-0.4831649831649832
1994,1.1400651465798046
1995,-0.1156773211567732
1996,1.6506024096385543
1997,-0.43246753246753245
1998,0.5823798627002288
1999,-0.0368763557483731
2000,-0.20045045045045046
2001,0.022535211267605635
2002,-0.07162534435261708
2003,0.49554896142433236
2004,0.12962962962962962
2005,1.6914519906323184
2006,-0.7987818142266696
2007,0.6594594594594595
2008,0.4234527687296417
2009,-0.4425629290617849
2010,0.17651888341543515
2011,0.7236566643405443
2012,-0.49271255060728747
2013,-0.4237829209896249
2014,-0.15512465373961218
2015,0.44754098360655736
2016,0.2797281993204983
