year, total
1953,13
1954,17
1955,18
1956,16
1957,16
1958,7
1959,7
1960,12
1961,12
1962,22
1963,19
1964,135
1965,429
1966,120
1967,197
1968,162
1969,505
1970,221
1971,170
1972,526
1973,863
1974,619
1975,460
1976,586
1977,1160
1978,440
1979,475
1980,200
1981,51
1982,158
1983,203
1984,264
1985,327
1986,284
1987,160
1988,51
1989,462
1990,608
1991,619
1992,374
1993,1705
1994,676
1995,602
1996,1622
1997,918
1998,1494
1999,1419
2000,1082
2001,1148
2002,1037
2003,1571
2004,1852
2005,4736
2006,975
2007,1639
2008,2300
2009,1265
2010,1635
2011,2680
2012,1261
2013,737
2014,654
2015,916
2016,1132
2017,110
