Declaration Type,Declaration Date,State,Disaster Type
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/2/1970,KY,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/16/1970,CA,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,2/27/1970,ME,Flood
Disaster,4/9/1970,AL,Storm
Disaster,4/9/1970,AL,Storm
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,5/13/1970,TX,Tornado
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,ND,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,6/5/1970,KY,Flood
Disaster,7/3/1970,FL,Flood
Disaster,7/3/1970,FL,Flood
Disaster,7/3/1970,FL,Flood
Disaster,7/22/1970,NY,Flood
Disaster,7/22/1970,NY,Flood
Disaster,7/22/1970,NY,Flood
Disaster,7/22/1970,NY,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,7/22/1970,MN,Flood
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,8/4/1970,TX,Hurricane
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
