year, rates
1966,0
1971,-0.5
1972,0.0
1974,1.0
1976,0.0
1979,0.0
1982,0.0
1983,0.0
1984,0.5
1985,-0.3333333333333333
1986,0.5
1987,-0.6666666666666666
1988,5.0
1989,-0.5
1990,-0.6666666666666666
1991,4.0
1992,-0.2
1993,1.25
1994,-0.5555555555555556
1995,0.0
1996,-0.25
1997,1.0
1998,-0.16666666666666666
1999,0.4
2000,-0.8571428571428571
2001,1.0
2002,0.0
2003,0.5
2004,-0.3333333333333333
2005,0.5
2006,1.0
2007,0.6666666666666666
2008,-0.4
2009,0.0
2010,-0.6666666666666666
2011,2.0
2012,1.3333333333333333
2013,0.14285714285714285
2014,-0.1875
2015,4.0
2016,0.07692307692307693
