year, normalized total
1966,0.02857142857142857
1972,0.014285714285714285
1974,0.02857142857142857
1976,0.02857142857142857
1979,0.02857142857142857
1982,0.02857142857142857
1983,0.02857142857142857
1984,0.04285714285714286
1985,0.02857142857142857
1986,0.04285714285714286
1987,0.014285714285714285
1988,0.08571428571428572
1989,0.04285714285714286
1990,0.014285714285714285
1991,0.07142857142857142
1992,0.05714285714285714
1993,0.12857142857142856
1994,0.05714285714285714
1995,0.05714285714285714
1996,0.04285714285714286
1997,0.08571428571428572
1998,0.07142857142857142
1999,0.1
2000,0.014285714285714285
2001,0.02857142857142857
2002,0.02857142857142857
2003,0.04285714285714286
2004,0.02857142857142857
2005,0.04285714285714286
2006,0.08571428571428572
2007,0.14285714285714285
2008,0.08571428571428572
2009,0.08571428571428572
2010,0.02857142857142857
2011,0.08571428571428572
2012,0.2
2013,0.22857142857142856
1971,0.014285714285714285
2014,0.18571428571428572
2015,0.9285714285714286
2016,1.0
