year, rates
1970,0
1971,-0.4777777777777778
1972,-0.7319148936170212
1973,-0.14285714285714285
1974,0.3888888888888889
1975,0.88
1976,-0.2695035460992908
1977,0.17475728155339806
1978,-0.5454545454545454
1979,-0.10909090909090909
1980,0.061224489795918366
1981,0.038461538461538464
1982,0.1111111111111111
1983,-0.3333333333333333
1984,0.425
1985,-0.38596491228070173
1986,-0.11428571428571428
1987,-0.12903225806451613
1988,-0.25925925925925924
1989,0.75
1990,-0.22857142857142856
1991,-0.1111111111111111
1992,0.2916666666666667
1994,0.7741935483870968
1995,0.07272727272727272
1996,-0.4067796610169492
1997,0.11428571428571428
1998,-0.3076923076923077
1999,0.9629629629629629
2000,-0.39622641509433965
2001,0.25
2002,-0.175
2003,0.0
2004,-0.7272727272727273
2005,1.3333333333333333
2006,-0.7142857142857143
2007,0.3333333333333333
2008,1.25
2009,-0.3888888888888889
2010,0.5454545454545454
2011,-0.4117647058823529
2012,1.0
2013,0.0
2014,0.45
2015,0.3103448275862069
2016,0.6842105263157895
