year, normalized total
1970,1.0
1995,0.13111111111111112
1996,0.07777777777777778
1997,0.08666666666666667
1973,0.12
1975,0.31333333333333335
1976,0.2288888888888889
1979,0.10888888888888888
1981,0.12
1982,0.13333333333333333
1986,0.06888888888888889
1971,0.5222222222222223
1990,0.06
1977,0.2688888888888889
1978,0.12222222222222222
1994,0.12222222222222222
1974,0.16666666666666666
1980,0.11555555555555555
1988,0.044444444444444446
1972,0.14
1983,0.08888888888888889
1984,0.12666666666666668
2003,0.07333333333333333
2008,0.04
1989,0.07777777777777778
1991,0.05333333333333334
1998,0.06
2001,0.08888888888888889
2000,0.07111111111111111
1999,0.11777777777777777
2002,0.07333333333333333
2014,0.06444444444444444
2010,0.03777777777777778
2011,0.022222222222222223
2013,0.044444444444444446
2004,0.02
2005,0.04666666666666667
2006,0.013333333333333334
1992,0.06888888888888889
1987,0.06
2007,0.017777777777777778
2009,0.024444444444444446
2012,0.044444444444444446
2015,0.08444444444444445
2016,0.14222222222222222
1985,0.07777777777777778
