Date_ter,iyear,imonth,iday,country_txt,provstate,latitude,longitude,attacktype1_txt
1/1/1970,1970,1,1,United States,Illinois,37.005105,-89.176269,Armed Assault
1/2/1970,1970,1,2,United States,California,37.791927,-122.225906,Bombing/Explosion
1/2/1970,1970,1,2,United States,Wisconsin,43.076592,-89.412488,Facility/Infrastructure Attack
1/3/1970,1970,1,3,United States,Wisconsin,43.07295,-89.386694,Facility/Infrastructure Attack
1/1/1970,1970,1,1,United States,Wisconsin,43.4685,-89.744299,Bombing/Explosion
1/6/1970,1970,1,6,United States,Colorado,39.758968,-104.876305,Facility/Infrastructure Attack
1/9/1970,1970,1,9,United States,Michigan,42.331685,-83.047924,Facility/Infrastructure Attack
1/12/1970,1970,1,12,United States,New York,40.697132,-73.931351,Bombing/Explosion
1/13/1970,1970,1,13,United States,Washington,47.610786,-122.331306,Facility/Infrastructure Attack
1/14/1970,1970,1,14,United States,Illinois,40.116748,-88.23927,Facility/Infrastructure Attack
1/19/1970,1970,1,19,United States,Washington,47.610786,-122.331306,Bombing/Explosion
1/19/1970,1970,1,19,United States,Washington,47.610786,-122.331306,Bombing/Explosion
1/19/1970,1970,1,19,United States,New Jersey,40.717892,-74.067467,Facility/Infrastructure Attack
1/22/1970,1970,1,22,United States,Nebraska,42.47031,-96.413949,Bombing/Explosion
1/25/1970,1970,1,25,United States,Mississippi,33.60651,-88.650419,Facility/Infrastructure Attack
1/25/1970,1970,1,25,United States,New York,40.697132,-73.931351,Armed Assault
1/26/1970,1970,1,26,United States,Mississippi,33.60651,-88.650419,Bombing/Explosion
1/26/1970,1970,1,26,United States,New York,40.697132,-73.931351,Armed Assault
1/27/1970,1970,1,27,United States,Ohio,41.241996,-82.615241,Facility/Infrastructure Attack
1/28/1970,1970,1,28,United States,Washington,47.610786,-122.331306,Bombing/Explosion
1/30/1970,1970,1,30,United States,Nebraska,42.479999,-96.413046,Bombing/Explosion
1/30/1970,1970,1,30,United States,Nebraska,42.46634,-96.41405,Bombing/Explosion
1/30/1970,1970,1,30,United States,Florida,25.720851,-80.277857,Facility/Infrastructure Attack
1/31/1970,1970,1,31,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
2/1/1970,1970,2,1,United States,Oregon,45.511795,-122.675629,Facility/Infrastructure Attack
2/1/1970,1970,2,1,United States,Illinois,37.005105,-89.176269,Armed Assault
2/2/1970,1970,2,2,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/3/1970,1970,2,3,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/3/1970,1970,2,3,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/4/1970,1970,2,4,United States,Ohio,41.084195,-81.514059,Bombing/Explosion
2/6/1970,1970,2,6,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
2/6/1970,1970,2,6,United States,Washington,47.610786,-122.331306,Bombing/Explosion
2/6/1970,1970,2,6,United States,Washington,47.610786,-122.331306,Bombing/Explosion
2/6/1970,1970,2,6,United States,Massachusetts,42.3505,-71.105399,Facility/Infrastructure Attack
2/7/1970,1970,2,7,United States,Wisconsin,42.838355,-88.743224,Facility/Infrastructure Attack
2/8/1970,1970,2,8,United States,New York,40.697132,-73.931351,Bombing/Explosion
2/8/1970,1970,2,8,United States,New York,40.697132,-73.931351,Bombing/Explosion
2/9/1970,1970,2,9,United States,New York,40.697132,-73.931351,Bombing/Explosion
2/9/1970,1970,2,9,United States,Ohio,39.07859,-84.179414,Bombing/Explosion
2/11/1970,1970,2,11,United States,Michigan,42.263414,-83.665281,Facility/Infrastructure Attack
2/13/1970,1970,2,13,United States,California,37.874043,-122.280022,Bombing/Explosion
2/13/1970,1970,2,13,United States,California,37.874043,-122.280022,Bombing/Explosion
2/15/1970,1970,2,15,United States,New York,40.697132,-73.931351,Bombing/Explosion
2/15/1970,1970,2,15,United States,Oregon,44.04483,-123.072606,Facility/Infrastructure Attack
2/16/1970,1970,2,16,United States,California,37.755363,-122.443352,Bombing/Explosion
2/16/1970,1970,2,16,United States,California,37.874043,-122.280022,Bombing/Explosion
2/16/1970,1970,2,16,United States,California,37.874043,-122.280022,Bombing/Explosion
2/16/1970,1970,2,16,United States,California,37.755363,-122.443352,Armed Assault
2/17/1970,1970,2,17,United States,California,37.791927,-122.225906,Bombing/Explosion
2/17/1970,1970,2,17,United States,Maryland,39.334825,-77.431653,Bombing/Explosion
2/17/1970,1970,2,17,United States,Louisiana,30.493919,-90.132512,Bombing/Explosion
2/17/1970,1970,2,17,United States,Washington,47.610786,-122.331306,Bombing/Explosion
2/18/1970,1970,2,18,United States,Ohio,41.479561,-81.675461,Bombing/Explosion
2/18/1970,1970,2,18,United States,California,38.10083,-122.254954,Bombing/Explosion
2/20/1970,1970,2,20,United States,Connecticut,41.763325,-72.674069,Facility/Infrastructure Attack
2/20/1970,1970,2,20,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/20/1970,1970,2,20,United States,Washington,47.610786,-122.331306,Bombing/Explosion
2/21/1970,1970,2,21,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/21/1970,1970,2,21,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
2/21/1970,1970,2,21,United States,New York,40.697132,-73.931351,Bombing/Explosion
2/21/1970,1970,2,21,United States,Colorado,39.758968,-104.876305,Facility/Infrastructure Attack
2/22/1970,1970,2,22,United States,New York,42.455233,-76.475847,Facility/Infrastructure Attack
2/22/1970,1970,2,22,United States,Wisconsin,43.287052,-89.724361,Bombing/Explosion
2/23/1970,1970,2,23,United States,Nebraska,42.47031,-96.413949,Bombing/Explosion
2/23/1970,1970,2,23,United States,Nebraska,42.47031,-96.413949,Bombing/Explosion
2/23/1970,1970,2,23,United States,Nebraska,42.47031,-96.413949,Bombing/Explosion
2/23/1970,1970,2,23,United States,Nebraska,42.47031,-96.413949,Bombing/Explosion
2/23/1970,1970,2,23,United States,Arizona,32.222232,-110.925752,Bombing/Explosion
2/24/1970,1970,2,24,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
2/24/1970,1970,2,24,United States,Illinois,40.101952,-88.227161,Facility/Infrastructure Attack
2/27/1970,1970,2,27,United States,Colorado,40.007581,-105.265942,Bombing/Explosion
3/1/1970,1970,3,1,United States,Colorado,40.007581,-105.265942,Bombing/Explosion
3/1/1970,1970,3,1,United States,Colorado,38.864281,-104.778412,Facility/Infrastructure Attack
3/1/1970,1970,3,1,United States,Colorado,40.007581,-105.265942,Facility/Infrastructure Attack
3/1/1970,1970,3,1,United States,Colorado,40.014986,-105.270546,Bombing/Explosion
3/2/1970,1970,3,2,United States,Ohio,41.479561,-81.675461,Facility/Infrastructure Attack
3/3/1970,1970,3,3,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
3/3/1970,1970,3,3,United States,Washington,47.610786,-122.331306,Bombing/Explosion
3/4/1970,1970,3,4,United States,California,37.791927,-122.225906,Bombing/Explosion
3/4/1970,1970,3,4,United States,California,38.019304,-122.134062,Bombing/Explosion
3/4/1970,1970,3,4,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
3/5/1970,1970,3,5,United States,Washington,47.610786,-122.331306,Bombing/Explosion
3/5/1970,1970,3,5,United States,Colorado,39.758968,-104.876305,Bombing/Explosion
3/6/1970,1970,3,6,United States,Michigan,42.331685,-83.047924,Bombing/Explosion
3/6/1970,1970,3,6,United States,Michigan,42.331685,-83.047924,Bombing/Explosion
3/9/1970,1970,3,9,United States,California,37.874043,-122.280022,Facility/Infrastructure Attack
3/9/1970,1970,3,9,United States,Alabama,33.83651,-86.254749,Facility/Infrastructure Attack
3/9/1970,1970,3,9,United States,Connecticut,41.18188,-73.191269,Facility/Infrastructure Attack
3/9/1970,1970,3,9,United States,New Mexico,35.084319,-106.619781,Bombing/Explosion
3/9/1970,1970,3,9,United States,Maryland,39.53894,-76.348479,Bombing/Explosion
3/10/1970,1970,3,10,United States,Maryland,38.563122,-76.078063,Bombing/Explosion
3/10/1970,1970,3,10,United States,California,37.755363,-122.443352,Facility/Infrastructure Attack
3/11/1970,1970,3,11,United States,Illinois,40.102408,-88.227159,Facility/Infrastructure Attack
3/12/1970,1970,3,12,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/12/1970,1970,3,12,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/12/1970,1970,3,12,United States,Illinois,41.842602,-87.681229,Bombing/Explosion
3/12/1970,1970,3,12,United States,Illinois,41.842602,-87.681229,Bombing/Explosion
3/12/1970,1970,3,12,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/13/1970,1970,3,13,United States,Wisconsin,44.260288,-88.397455,Facility/Infrastructure Attack
3/13/1970,1970,3,13,United States,Wisconsin,44.268598,-88.42844,Facility/Infrastructure Attack
3/14/1970,1970,3,14,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/14/1970,1970,3,14,United States,California,33.766725,-118.192399,Hijacking
3/15/1970,1970,3,15,United States,Montana,45.783975,-108.505794,Bombing/Explosion
3/16/1970,1970,3,16,United States,California,34.105245,-117.294124,Facility/Infrastructure Attack
3/17/1970,1970,3,17,United States,California,34.097866,-118.407379,Bombing/Explosion
3/18/1970,1970,3,18,United States,Ohio,39.226835,-84.453309,Bombing/Explosion
3/20/1970,1970,3,20,United States,Oregon,45.511795,-122.675629,Bombing/Explosion
3/20/1970,1970,3,20,United States,Michigan,42.331685,-83.047924,Assassination
3/21/1970,1970,3,21,United States,District of Columbia,38.908642,-77.015381,Bombing/Explosion
3/21/1970,1970,3,21,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
3/21/1970,1970,3,21,United States,New York,40.697132,-73.931351,Facility/Infrastructure Attack
3/22/1970,1970,3,22,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/22/1970,1970,3,22,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/22/1970,1970,3,22,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/23/1970,1970,3,23,United States,Florida,28.538235,-81.377389,Bombing/Explosion
3/24/1970,1970,3,24,United States,New York,40.697132,-73.931351,Bombing/Explosion
3/24/1970,1970,3,24,United States,Ohio,41.479561,-81.675461,Bombing/Explosion
3/24/1970,1970,3,24,United States,California,37.93781,-122.342709,Bombing/Explosion
3/27/1970,1970,3,27,United States,California,37.755363,-122.443352,Bombing/Explosion
3/30/1970,1970,3,30,United States,Illinois,40.85122,-90.864369,Facility/Infrastructure Attack
3/30/1970,1970,3,30,United States,Georgia,32.3575,-84.95623,Facility/Infrastructure Attack
