year, rates
1970,0
1971,-0.18
1972,0.36585365853658536
1973,0.4107142857142857
1974,0.1518987341772152
1975,0.17216117216117216
1976,-0.059375
1977,-0.09302325581395349
1978,0.26373626373626374
1979,-0.25217391304347825
1980,-0.023255813953488372
1981,-0.2777777777777778
1982,0.06593406593406594
1983,-0.15463917525773196
1984,0.10365853658536585
1985,0.20441988950276244
1986,-0.15137614678899083
1987,0.2
1988,0.0945945945945946
1989,0.09465020576131687
1990,-0.06015037593984962
1991,-0.048
1992,0.07142857142857142
1994,0.5843137254901961
1995,0.31683168316831684
1996,0.020676691729323307
1997,1.1786372007366483
1998,0.40828402366863903
1999,0.563625450180072
2000,-0.034932821497120924
2001,0.09387430389817025
2002,-0.006909090909090909
2003,0.20688392530208716
2004,0.039745145631067964
2005,-0.015465421651590313
2006,-0.08565500889152342
2007,0.13517017828200972
2008,0.1881781838949172
2009,-0.11727950012016342
2010,0.012523822488429077
2011,0.25356278569507934
2012,0.45602745602745604
2013,-0.03830288744843842
2014,0.12913602941176472
2015,-0.2535612535612536
2016,-0.15703380588876772
2017,-0.9946097455799914
