year, total
1970,150
1971,123
1972,168
1973,237
1974,273
1975,320
1976,301
1977,273
1978,345
1979,258
1980,252
1981,182
1982,194
1983,164
1984,181
1985,218
1986,185
1987,222
1988,243
1989,266
1990,250
1991,238
1992,255
1994,404
1995,532
1996,543
1997,1183
1998,1666
1999,2605
2000,2514
2001,2750
2002,2731
2003,3296
2004,3427
2005,3374
2006,3085
2007,3502
2008,4161
2009,3673
2010,3719
2011,4662
2012,6788
2013,6528
2014,7371
2015,5502
2016,4638
2017,25
